iter	Passed	Remaining
0	0	1167
1	0	1895
2	0	1708
3	0	1605
4	0	1529
5	0	1486
6	1	1603
7	1	1657
8	1	1755
9	1	1683
10	1	1708
11	2	1713
12	2	1634
13	2	1575
14	2	1622
15	2	1592
16	2	1579
17	2	1576
18	2	1544
19	3	1523
20	3	1863
21	4	1844
22	4	1823
23	4	1835
24	4	1812
25	4	1848
26	4	1803
27	4	1767
28	5	1733
29	5	1726
30	5	1714
31	5	1707
32	5	1697
33	5	1717
34	6	1731
35	6	1772
36	6	1786
37	6	1761
38	6	1770
39	7	1768
40	7	1757
41	7	1752
42	7	1731
43	7	1740
44	7	1747
45	8	1734
46	8	1748
47	9	1893
48	9	1871
49	9	1861
50	9	1861
51	9	1861
52	9	1856
53	9	1835
54	10	1823
55	10	1818
56	10	1803
57	10	1789
58	10	1788
59	10	1776
60	10	1763
61	11	1782
62	11	1796
63	11	1784
64	11	1791
65	11	1782
66	11	1777
67	12	1772
68	12	1768
69	12	1776
70	12	1759
71	12	1761
72	12	1749
73	12	1737
74	13	1749
75	13	1746
76	13	1750
77	13	1748
78	13	1742
79	14	1737
80	14	1724
81	14	1725
82	14	1715
83	14	1706
84	14	1706
85	14	1704
86	15	1719
87	15	1721
88	15	1718
89	15	1713
90	16	1791
91	16	1782
92	16	1785
93	16	1778
94	16	1768
95	17	1765
96	17	1767
97	17	1757
98	17	1750
99	17	1739
100	17	1744
101	17	1740
102	18	1747
103	18	1744
104	18	1741
105	18	1729
106	18	1722
107	18	1712
108	18	1713
109	19	1709
110	19	1704
111	19	1700
112	19	1705
113	19	1711
114	19	1714
115	20	1708
116	20	1716
117	20	1723
118	20	1725
119	21	1732
120	21	1731
121	21	1730
122	21	1728
123	21	1735
124	22	1740
125	22	1734
126	22	1735
127	22	1727
128	22	1718
129	22	1714
130	22	1717
131	22	1716
132	23	1719
133	23	1719
134	23	1715
135	23	1706
136	23	1704
137	24	1715
138	24	1711
139	24	1718
140	24	1718
141	24	1712
142	24	1710
143	25	1720
144	25	1721
145	25	1715
146	25	1716
147	25	1710
148	26	1722
149	26	1715
150	26	1708
151	26	1708
152	26	1705
153	26	1706
154	26	1700
155	26	1700
156	27	1702
157	27	1700
158	27	1700
159	27	1700
160	27	1701
161	27	1699
162	28	1700
163	28	1702
164	28	1699
165	28	1691
166	28	1691
167	28	1689
168	28	1686
169	29	1681
170	29	1680
171	29	1677
172	29	1677
173	29	1677
174	29	1674
175	30	1675
176	30	1675
177	30	1675
178	30	1675
179	30	1673
180	30	1671
181	31	1675
182	31	1672
183	31	1672
184	31	1675
185	31	1676
186	31	1674
187	32	1673
188	32	1676
189	32	1671
190	32	1671
191	32	1670
192	32	1668
193	32	1665
194	33	1665
195	33	1664
196	33	1664
197	33	1666
198	33	1663
199	33	1662
200	34	1660
201	34	1656
202	34	1656
203	34	1656
204	34	1654
205	34	1650
206	34	1652
207	35	1648
208	35	1645
209	35	1644
210	35	1644
211	35	1646
212	35	1645
213	35	1645
214	36	1644
215	36	1645
216	36	1644
217	36	1643
218	36	1639
219	36	1639
220	37	1642
221	37	1642
222	37	1644
223	37	1642
224	37	1643
225	37	1639
226	38	1636
227	38	1637
228	38	1632
229	38	1628
230	38	1625
231	38	1622
232	38	1620
233	38	1618
234	38	1614
235	38	1612
236	39	1613
237	39	1613
238	39	1614
239	39	1611
240	39	1611
241	39	1607
242	40	1609
243	40	1611
244	40	1607
245	40	1603
246	40	1602
247	40	1602
248	40	1600
249	40	1598
250	41	1597
251	41	1592
252	41	1589
253	41	1585
254	41	1582
255	41	1581
256	41	1579
257	41	1575
258	41	1572
259	42	1574
260	42	1574
261	42	1576
262	42	1577
263	42	1574
264	42	1574
265	42	1570
266	42	1566
267	43	1566
268	43	1566
269	43	1565
270	43	1562
271	43	1562
272	43	1563
273	44	1563
274	44	1562
275	44	1564
276	44	1560
277	44	1560
278	44	1559
279	44	1559
280	44	1556
281	45	1554
282	45	1555
283	45	1554
284	45	1554
285	45	1553
286	45	1552
287	46	1551
288	46	1551
289	46	1551
290	46	1548
291	46	1549
292	46	1550
293	46	1548
294	47	1546
295	47	1546
296	47	1545
297	47	1545
298	47	1542
299	47	1539
300	47	1536
301	47	1535
302	47	1534
303	48	1531
304	48	1530
305	48	1529
306	48	1525
307	48	1524
308	48	1522
309	48	1522
310	48	1523
311	49	1524
312	49	1524
313	49	1525
314	49	1523
315	49	1522
316	49	1523
317	49	1522
318	50	1520
319	50	1520
320	50	1519
321	50	1519
322	50	1519
323	50	1519
324	51	1518
325	51	1516
326	51	1516
327	51	1519
328	51	1520
329	51	1520
330	52	1519
331	52	1520
332	52	1519
333	52	1520
334	52	1521
335	52	1521
336	53	1521
337	53	1521
338	53	1521
339	53	1522
340	53	1522
341	53	1521
342	53	1519
343	54	1518
344	54	1516
345	54	1516
346	54	1513
347	54	1513
348	54	1511
349	54	1513
350	55	1513
351	55	1514
352	55	1515
353	55	1513
354	55	1513
355	55	1513
356	56	1513
357	56	1511
358	56	1511
359	56	1512
360	56	1512
361	56	1515
362	57	1516
363	57	1515
364	57	1515
365	57	1515
366	57	1514
367	57	1513
368	57	1513
369	58	1514
370	58	1514
371	58	1514
372	58	1515
373	58	1517
374	59	1516
375	59	1516
376	59	1516
377	59	1514
378	59	1512
379	59	1512
380	59	1511
381	60	1511
382	60	1511
383	60	1511
384	60	1510
385	60	1511
386	60	1511
387	61	1512
388	61	1512
389	61	1512
390	61	1511
391	61	1511
392	61	1511
393	61	1509
394	62	1509
395	62	1510
396	62	1509
397	62	1510
398	62	1510
399	62	1510
400	63	1511
401	63	1511
402	63	1512
403	63	1512
404	63	1513
405	64	1512
406	64	1512
407	64	1510
408	64	1510
409	64	1510
410	64	1510
411	64	1511
412	65	1511
413	65	1511
414	65	1512
415	65	1512
416	65	1514
417	66	1513
418	66	1514
419	66	1513
420	66	1514
421	66	1514
422	66	1513
423	67	1513
424	67	1514
425	67	1514
426	67	1515
427	67	1515
428	67	1515
429	68	1515
430	68	1515
431	68	1516
432	68	1516
433	68	1515
434	68	1515
435	69	1515
436	69	1514
437	69	1515
438	69	1516
439	69	1516
440	69	1516
441	70	1516
442	70	1515
443	70	1515
444	70	1516
445	70	1515
446	70	1515
447	71	1515
448	71	1515
449	71	1515
450	71	1515
451	71	1515
452	71	1516
453	72	1516
454	72	1517
455	72	1517
456	72	1515
457	72	1514
458	72	1514
459	73	1514
460	73	1513
461	73	1513
462	73	1513
463	73	1513
464	73	1513
465	73	1513
466	74	1513
467	74	1513
468	74	1513
469	74	1513
470	74	1512
471	74	1512
472	75	1512
473	75	1513
474	75	1513
475	75	1512
476	75	1513
477	75	1512
478	76	1513
479	76	1514
480	76	1513
481	76	1513
482	76	1513
483	76	1513
484	77	1513
485	77	1513
486	77	1512
487	77	1513
488	77	1513
489	77	1513
490	78	1513
491	78	1513
492	78	1513
493	78	1513
494	78	1512
495	78	1512
496	79	1511
497	79	1511
498	79	1511
499	79	1511
500	79	1510
501	79	1510
502	80	1511
503	80	1511
504	80	1511
505	80	1512
506	80	1511
507	80	1511
508	81	1511
509	81	1511
510	81	1511
511	81	1510
512	81	1511
513	81	1512
514	82	1513
515	82	1513
516	82	1513
517	82	1513
518	82	1512
519	82	1512
520	83	1512
521	83	1512
522	83	1511
523	83	1511
524	83	1511
525	83	1510
526	84	1510
527	84	1510
528	84	1510
529	84	1510
530	84	1509
531	84	1509
532	85	1510
533	85	1509
534	85	1510
535	85	1512
536	85	1512
537	86	1512
538	86	1512
539	86	1511
540	86	1513
541	86	1513
542	86	1513
543	87	1513
544	87	1514
545	87	1514
546	87	1514
547	87	1514
548	87	1514
549	88	1513
550	88	1514
551	88	1513
552	88	1513
553	88	1513
554	88	1513
555	89	1512
556	89	1512
557	89	1513
558	89	1513
559	89	1514
560	90	1514
561	90	1514
562	90	1513
563	90	1513
564	90	1513
565	90	1514
566	91	1514
567	91	1513
568	91	1514
569	91	1515
570	91	1516
571	91	1516
572	92	1516
573	92	1517
574	92	1517
575	92	1518
576	92	1518
577	93	1517
578	93	1518
579	93	1518
580	93	1518
581	93	1518
582	94	1518
583	94	1520
584	94	1520
585	94	1520
586	94	1520
587	94	1520
588	95	1519
589	95	1521
590	95	1521
591	95	1521
592	95	1520
593	96	1520
594	96	1520
595	96	1520
596	96	1520
597	96	1520
598	96	1519
599	97	1519
600	97	1519
601	97	1519
602	97	1520
603	97	1520
604	97	1519
605	98	1519
606	98	1519
607	98	1519
608	98	1519
609	98	1519
610	98	1519
611	99	1519
612	99	1519
613	99	1519
614	99	1519
615	99	1519
616	99	1519
617	100	1518
618	100	1518
619	100	1519
620	100	1518
621	100	1518
622	100	1518
623	101	1518
624	101	1520
625	101	1520
626	101	1520
627	101	1520
628	102	1522
629	102	1522
630	102	1523
631	102	1524
632	103	1524
633	103	1524
634	103	1525
635	103	1525
636	103	1524
637	103	1525
638	104	1524
639	104	1525
640	104	1524
641	104	1524
642	104	1525
643	104	1524
644	105	1524
645	105	1524
646	105	1525
647	105	1525
648	105	1525
649	106	1525
650	106	1526
651	106	1526
652	106	1526
653	106	1527
654	107	1527
655	107	1528
656	107	1528
657	107	1529
658	107	1529
659	108	1529
660	108	1529
661	108	1529
662	108	1529
663	108	1529
664	108	1529
665	109	1529
666	109	1529
667	109	1530
668	109	1530
669	109	1530
670	110	1530
671	110	1530
672	110	1530
673	110	1530
674	110	1529
675	110	1530
676	111	1529
677	111	1529
678	111	1529
679	111	1529
680	111	1530
681	112	1530
682	112	1530
683	112	1530
684	112	1530
685	112	1530
686	112	1530
687	113	1531
688	113	1532
689	113	1533
690	113	1534
691	114	1534
692	114	1534
693	114	1534
694	114	1536
695	115	1537
696	115	1537
697	115	1537
698	115	1538
699	115	1537
700	115	1537
701	116	1537
702	116	1538
703	116	1539
704	116	1539
705	116	1538
706	117	1538
707	117	1538
708	117	1537
709	117	1537
710	117	1538
711	117	1537
712	118	1537
713	118	1538
714	118	1538
715	118	1538
716	118	1538
717	118	1537
718	119	1537
719	119	1537
720	119	1537
721	119	1538
722	119	1539
723	120	1539
724	120	1540
725	120	1540
726	120	1541
727	121	1541
728	121	1541
729	121	1541
730	121	1541
731	121	1542
732	121	1541
733	122	1542
734	122	1542
735	122	1542
736	122	1542
737	122	1542
738	123	1542
739	123	1542
740	123	1542
741	123	1542
742	123	1541
743	123	1542
744	124	1542
745	124	1541
746	124	1541
747	124	1541
748	124	1541
749	124	1541
750	125	1541
751	125	1540
752	125	1540
753	125	1540
754	125	1541
755	126	1541
756	126	1541
757	126	1541
758	126	1541
759	126	1541
760	127	1542
761	127	1542
762	127	1541
763	127	1542
764	127	1541
765	127	1541
766	128	1540
767	128	1540
768	128	1540
769	128	1539
770	128	1539
771	128	1539
772	128	1539
773	129	1539
774	129	1539
775	129	1538
776	129	1538
777	129	1538
778	129	1537
779	130	1536
780	130	1536
781	130	1536
782	130	1536
783	130	1535
784	130	1535
785	130	1535
786	131	1535
787	131	1535
788	131	1536
789	131	1535
790	131	1536
791	132	1535
792	132	1535
793	132	1536
794	132	1536
795	132	1536
796	133	1536
797	133	1536
798	133	1536
799	133	1536
800	133	1537
801	134	1537
802	134	1537
803	134	1538
804	134	1538
805	134	1538
806	135	1540
807	135	1540
808	135	1539
809	135	1539
810	135	1539
811	136	1538
812	136	1539
813	136	1538
814	136	1538
815	136	1538
816	136	1538
817	137	1538
818	137	1538
819	137	1538
820	137	1538
821	137	1538
822	137	1537
823	138	1537
824	138	1536
825	138	1537
826	138	1537
827	138	1537
828	138	1537
829	139	1537
830	139	1536
831	139	1536
832	139	1537
833	139	1537
834	140	1537
835	140	1537
836	140	1538
837	140	1538
838	140	1538
839	141	1538
840	141	1539
841	141	1538
842	141	1538
843	141	1539
844	142	1538
845	142	1538
846	142	1538
847	142	1538
848	142	1537
849	142	1537
850	143	1537
851	143	1537
852	143	1537
853	143	1537
854	143	1536
855	143	1537
856	144	1536
857	144	1536
858	144	1536
859	144	1535
860	144	1535
861	144	1535
862	144	1534
863	145	1534
864	145	1534
865	145	1535
866	145	1535
867	145	1535
868	146	1535
869	146	1536
870	146	1536
871	146	1536
872	146	1536
873	147	1536
874	147	1537
875	147	1537
876	147	1538
877	148	1538
878	148	1537
879	148	1537
880	148	1537
881	148	1537
882	148	1536
883	149	1536
884	149	1536
885	149	1536
886	149	1536
887	149	1535
888	149	1535
889	149	1534
890	150	1534
891	150	1534
892	150	1534
893	150	1533
894	150	1533
895	150	1533
896	151	1533
897	151	1533
898	151	1532
899	151	1532
900	151	1533
901	151	1532
902	152	1532
903	152	1532
904	152	1532
905	152	1533
906	152	1533
907	153	1533
908	153	1533
909	153	1534
910	153	1534
911	153	1534
912	154	1534
913	154	1533
914	154	1534
915	154	1534
916	154	1533
917	154	1533
918	155	1532
919	155	1532
920	155	1532
921	155	1531
922	155	1531
923	155	1531
924	156	1530
925	156	1530
926	156	1530
927	156	1530
928	156	1529
929	156	1529
930	157	1529
931	157	1529
932	157	1529
933	157	1529
934	157	1529
935	157	1529
936	158	1529
937	158	1528
938	158	1528
939	158	1528
940	158	1528
941	158	1528
942	159	1528
943	159	1528
944	159	1528
945	159	1528
946	159	1528
947	160	1527
948	160	1527
949	160	1527
950	160	1527
951	160	1527
952	160	1526
953	161	1526
954	161	1526
955	161	1525
956	161	1525
957	161	1524
958	161	1524
959	161	1524
960	162	1523
961	162	1523
962	162	1523
963	162	1523
964	162	1523
965	162	1523
966	163	1522
967	163	1522
968	163	1522
969	163	1522
970	163	1522
971	163	1522
972	164	1522
973	164	1521
974	164	1522
975	164	1522
976	164	1522
977	165	1522
978	165	1522
979	165	1521
980	165	1521
981	165	1521
982	165	1521
983	165	1520
984	166	1520
985	166	1519
986	166	1519
987	166	1519
988	166	1519
989	166	1519
990	167	1519
991	167	1519
992	167	1519
993	167	1519
994	167	1519
995	168	1518
996	168	1518
997	168	1518
998	168	1517
999	168	1517
1000	168	1517
1001	169	1517
1002	169	1517
1003	169	1517
1004	169	1517
1005	169	1516
1006	169	1516
1007	169	1516
1008	170	1516
1009	170	1515
1010	170	1515
1011	170	1515
1012	170	1514
1013	170	1514
1014	171	1514
1015	171	1514
1016	171	1514
1017	171	1513
1018	171	1513
1019	171	1514
1020	172	1514
1021	172	1514
1022	172	1514
1023	172	1514
1024	173	1514
1025	173	1515
1026	173	1514
1027	173	1514
1028	173	1514
1029	173	1513
1030	174	1513
1031	174	1513
1032	174	1513
1033	174	1513
1034	174	1513
1035	174	1513
1036	175	1513
1037	175	1513
1038	175	1512
1039	175	1512
1040	175	1512
1041	175	1512
1042	176	1512
1043	176	1512
1044	176	1511
1045	176	1511
1046	176	1511
1047	176	1511
1048	177	1511
1049	177	1511
1050	177	1511
1051	177	1511
1052	177	1510
1053	178	1511
1054	178	1511
1055	178	1511
1056	178	1511
1057	178	1511
1058	179	1511
1059	179	1511
1060	179	1511
1061	179	1511
1062	179	1511
1063	179	1511
1064	180	1511
1065	180	1510
1066	180	1510
1067	180	1510
1068	180	1510
1069	180	1510
1070	181	1509
1071	181	1509
1072	181	1509
1073	181	1509
1074	181	1508
1075	181	1508
1076	182	1509
1077	182	1508
1078	182	1508
1079	182	1508
1080	183	1511
1081	183	1514
1082	183	1513
1083	184	1514
1084	184	1514
1085	184	1514
1086	184	1513
1087	184	1513
1088	185	1514
1089	185	1514
1090	185	1515
1091	185	1515
1092	185	1515
1093	186	1515
1094	186	1515
1095	186	1515
1096	186	1514
1097	186	1514
1098	187	1515
1099	187	1514
1100	187	1514
1101	187	1514
1102	187	1513
1103	187	1513
1104	188	1514
1105	188	1514
1106	188	1514
1107	188	1514
1108	189	1515
1109	189	1515
1110	189	1515
1111	189	1515
1112	189	1514
1113	189	1514
1114	190	1514
1115	190	1514
1116	190	1514
1117	190	1514
1118	190	1514
1119	190	1514
1120	191	1513
1121	191	1513
1122	191	1514
1123	191	1513
1124	191	1513
1125	192	1513
1126	192	1513
1127	192	1512
1128	192	1512
1129	192	1512
1130	192	1511
1131	192	1511
1132	193	1511
1133	193	1511
1134	193	1511
1135	193	1511
1136	193	1511
1137	193	1510
1138	194	1510
1139	194	1509
1140	194	1509
1141	194	1509
1142	194	1508
1143	194	1508
1144	195	1508
1145	195	1509
1146	195	1509
1147	195	1508
1148	195	1508
1149	196	1508
1150	196	1508
1151	196	1508
1152	196	1508
1153	196	1507
1154	196	1507
1155	197	1507
1156	197	1507
1157	197	1507
1158	197	1506
1159	197	1506
1160	197	1506
1161	198	1506
1162	198	1506
1163	198	1506
1164	198	1506
1165	198	1507
1166	199	1507
1167	199	1507
1168	199	1507
1169	199	1507
1170	199	1507
1171	200	1507
1172	200	1507
1173	200	1507
1174	200	1507
1175	200	1507
1176	201	1507
1177	201	1507
1178	201	1507
1179	201	1507
1180	201	1508
1181	202	1508
1182	202	1508
1183	202	1508
1184	202	1508
1185	203	1509
1186	203	1509
1187	203	1510
1188	203	1510
1189	204	1511
1190	204	1511
1191	204	1511
1192	204	1512
1193	205	1512
1194	205	1513
1195	205	1512
1196	205	1513
1197	205	1512
1198	206	1512
1199	206	1513
1200	206	1512
1201	206	1512
1202	206	1512
1203	207	1512
1204	207	1512
1205	207	1513
1206	207	1513
1207	208	1514
1208	208	1514
1209	208	1514
1210	208	1515
1211	209	1516
1212	209	1517
1213	209	1518
1214	210	1519
1215	210	1519
1216	210	1520
1217	210	1520
1218	211	1520
1219	211	1520
1220	211	1521
1221	211	1521
1222	212	1522
1223	212	1522
1224	212	1522
1225	212	1522
1226	212	1522
1227	213	1522
1228	213	1522
1229	213	1522
1230	213	1522
1231	213	1522
1232	214	1522
1233	214	1522
1234	214	1522
1235	214	1522
1236	215	1523
1237	215	1523
1238	215	1523
1239	215	1524
1240	215	1524
1241	216	1524
1242	216	1523
1243	216	1523
1244	216	1525
1245	217	1525
1246	217	1525
1247	217	1526
1248	217	1526
1249	218	1526
1250	218	1526
1251	218	1527
1252	218	1527
1253	218	1526
1254	219	1526
1255	219	1526
1256	219	1526
1257	219	1525
1258	219	1525
1259	219	1525
1260	220	1525
1261	220	1525
1262	220	1525
1263	220	1525
1264	220	1525
1265	221	1525
1266	221	1525
1267	221	1525
1268	221	1525
1269	221	1525
1270	222	1525
1271	222	1524
1272	222	1524
1273	222	1524
1274	222	1524
1275	222	1524
1276	223	1524
1277	223	1524
1278	223	1523
1279	223	1524
1280	223	1524
1281	224	1524
1282	224	1524
1283	224	1524
1284	224	1524
1285	224	1523
1286	225	1523
1287	225	1523
1288	225	1523
1289	225	1522
1290	225	1522
1291	225	1522
1292	226	1521
1293	226	1521
1294	226	1521
1295	226	1521
1296	226	1521
1297	226	1521
1298	227	1521
1299	227	1522
1300	227	1522
1301	227	1523
1302	228	1523
1303	228	1522
1304	228	1522
1305	228	1522
1306	228	1521
1307	229	1521
1308	229	1521
1309	229	1521
1310	229	1521
1311	229	1521
1312	229	1521
1313	230	1521
1314	230	1521
1315	230	1521
1316	230	1521
1317	230	1521
1318	231	1520
1319	231	1520
1320	231	1520
1321	231	1520
1322	231	1519
1323	231	1519
1324	232	1520
1325	232	1519
1326	232	1519
1327	232	1519
1328	232	1519
1329	233	1519
1330	233	1519
1331	233	1519
1332	233	1519
1333	233	1519
1334	234	1519
1335	234	1520
1336	234	1520
1337	234	1520
1338	235	1520
1339	235	1520
1340	235	1520
1341	235	1520
1342	235	1519
1343	236	1520
1344	236	1520
1345	236	1520
1346	236	1520
1347	236	1519
1348	236	1519
1349	237	1519
1350	237	1519
1351	237	1519
1352	237	1519
1353	237	1519
1354	238	1519
1355	238	1519
1356	238	1519
1357	238	1519
1358	238	1519
1359	239	1518
1360	239	1518
1361	239	1518
1362	239	1518
1363	239	1518
1364	239	1518
1365	240	1518
1366	240	1518
1367	240	1519
1368	240	1518
1369	241	1518
1370	241	1518
1371	241	1518
1372	241	1518
1373	241	1519
1374	242	1518
1375	242	1518
1376	242	1518
1377	242	1518
1378	242	1518
1379	243	1518
1380	243	1518
1381	243	1518
1382	243	1517
1383	243	1517
1384	243	1517
1385	244	1517
1386	244	1517
1387	244	1517
1388	244	1516
1389	244	1516
1390	245	1516
1391	245	1516
1392	245	1516
1393	245	1516
1394	245	1516
1395	245	1515
1396	246	1515
1397	246	1515
1398	246	1514
1399	246	1514
1400	246	1515
1401	247	1514
1402	247	1515
1403	247	1515
1404	247	1515
1405	247	1514
1406	248	1514
1407	248	1515
1408	248	1514
1409	248	1514
1410	249	1518
1411	249	1517
1412	249	1518
1413	249	1517
1414	250	1517
1415	250	1517
1416	250	1517
1417	250	1516
1418	250	1516
1419	250	1516
1420	251	1515
1421	251	1515
1422	251	1515
1423	251	1514
1424	251	1514
1425	251	1514
1426	252	1514
1427	252	1514
1428	252	1514
1429	252	1514
1430	252	1514
1431	253	1514
1432	253	1515
1433	253	1515
1434	253	1515
1435	254	1515
1436	254	1515
1437	254	1515
1438	254	1516
1439	255	1516
1440	255	1516
1441	255	1516
1442	255	1516
1443	255	1516
1444	256	1515
1445	256	1516
1446	256	1515
1447	256	1515
1448	256	1515
1449	256	1514
1450	257	1514
1451	257	1514
1452	257	1514
1453	257	1513
1454	257	1513
1455	257	1513
1456	258	1513
1457	258	1513
1458	258	1513
1459	258	1513
1460	258	1513
1461	259	1513
1462	259	1513
1463	259	1513
1464	259	1513
1465	260	1514
1466	260	1514
1467	260	1514
1468	260	1514
1469	260	1514
1470	261	1514
1471	261	1513
1472	261	1513
1473	261	1513
1474	261	1513
1475	262	1513
1476	262	1513
1477	262	1513
1478	262	1513
1479	262	1513
1480	263	1513
1481	263	1512
1482	263	1512
1483	263	1512
1484	263	1512
1485	263	1512
1486	264	1512
1487	264	1512
1488	264	1511
1489	264	1511
1490	264	1511
1491	265	1511
1492	265	1511
1493	265	1511
1494	265	1511
1495	265	1511
1496	266	1511
1497	266	1511
1498	266	1511
1499	266	1511
1500	266	1511
1501	267	1511
1502	267	1511
1503	267	1510
1504	267	1510
1505	267	1510
1506	268	1510
1507	268	1510
1508	268	1510
1509	268	1509
1510	268	1509
1511	268	1509
1512	269	1509
1513	269	1509
1514	269	1508
1515	269	1508
1516	269	1508
1517	269	1507
1518	270	1507
1519	270	1507
1520	270	1507
1521	270	1507
1522	270	1506
1523	270	1506
1524	271	1506
1525	271	1506
1526	271	1505
1527	271	1505
1528	271	1505
1529	271	1505
1530	272	1504
1531	272	1505
1532	272	1505
1533	272	1505
1534	273	1505
1535	273	1505
1536	273	1505
1537	273	1505
1538	273	1505
1539	273	1505
1540	274	1504
1541	274	1504
1542	274	1504
1543	274	1504
1544	274	1504
1545	275	1504
1546	275	1504
1547	275	1503
1548	275	1503
1549	275	1503
1550	275	1502
1551	276	1502
1552	276	1502
1553	276	1501
1554	276	1501
1555	276	1501
1556	276	1501
1557	276	1500
1558	277	1500
1559	277	1500
1560	277	1500
1561	277	1500
1562	277	1500
1563	278	1500
1564	278	1499
1565	278	1499
1566	278	1499
1567	278	1499
1568	279	1499
1569	279	1499
1570	279	1498
1571	279	1498
1572	279	1498
1573	279	1498
1574	280	1497
1575	280	1497
1576	280	1497
1577	280	1497
1578	280	1496
1579	280	1496
1580	280	1496
1581	281	1495
1582	281	1495
1583	281	1495
1584	281	1495
1585	281	1495
1586	282	1495
1587	282	1494
1588	282	1494
1589	282	1494
1590	282	1493
1591	282	1493
1592	282	1493
1593	283	1492
1594	283	1492
1595	283	1492
1596	283	1491
1597	283	1491
1598	283	1491
1599	284	1491
1600	284	1491
1601	284	1491
1602	284	1490
1603	284	1490
1604	284	1490
1605	285	1490
1606	285	1490
1607	285	1490
1608	285	1489
1609	285	1489
1610	285	1489
1611	286	1491
1612	286	1491
1613	287	1491
1614	287	1491
1615	287	1491
1616	287	1490
1617	287	1490
1618	287	1490
1619	288	1490
1620	288	1489
1621	288	1489
1622	288	1488
1623	288	1489
1624	288	1489
1625	289	1488
1626	289	1488
1627	289	1488
1628	289	1488
1629	289	1488
1630	289	1487
1631	290	1487
1632	290	1487
1633	290	1487
1634	290	1487
1635	290	1486
1636	290	1486
1637	291	1486
1638	291	1486
1639	291	1486
1640	291	1485
1641	291	1485
1642	292	1485
1643	292	1485
1644	292	1485
1645	292	1485
1646	292	1484
1647	292	1484
1648	293	1484
1649	293	1484
1650	293	1484
1651	293	1484
1652	293	1484
1653	294	1484
1654	294	1484
1655	294	1483
1656	294	1483
1657	294	1483
1658	295	1483
1659	295	1482
1660	295	1482
1661	295	1482
1662	295	1481
1663	295	1481
1664	295	1481
1665	296	1481
1666	296	1480
1667	296	1480
1668	296	1480
1669	296	1480
